nomor_struk,tgl_transaksi,kode_produk,nama_produk,jumlah_terjual,harga,total_nilai
INV-00003541,13-02-2025,CPDSNT,Celana Pendek Santai,1,67000,67000
INV-00003541,13-02-2025,TLR05K,Telur Ayam (Setengah Kg),2,16500,33000
INV-00003541,13-02-2025,KBLCHG,Kabel Data Fast Charge,2,59000,118000
INV-00003541,13-02-2025,DTG800,Deterjen Bubuk 800g,2,28500,57000
INV-00003541,13-02-2025,LED15W,Lampu LED Rumah 15W,3,63000,189000
INV-00003541,13-02-2025,PSUDAP,Pisau Dapur Stainless,2,55000,110000
INV-00003541,13-02-2025,SMBAT3,Sabun Mandi Batang (Isi 3),2,11000,22000
INV-00003541,13-02-2025,KSKK3P,Kaos Kaki (3 Pasang),3,25000,75000
INV-00003542,13-02-2025,TEKOLT,Teko Listrik,1,89000,89000
INV-00003542,13-02-2025,HNDKMD,Handuk Mandi Sedang,2,42000,84000
INV-00003542,13-02-2025,TISWJH,Tisu Wajah Pack Ganda,4,32500,130000
INV-00003542,13-02-2025,SACTAN,Sabun Cuci Tangan Reffil,2,15000,30000
INV-00003543,13-02-2025,DEOSPR,Deodoran Spray,2,49500,99000
INV-00003544,13-02-2025,DTG800,Deterjen Bubuk 800g,1,28500,28500
INV-00003544,13-02-2025,KSKK3P,Kaos Kaki (3 Pasang),1,25000,25000
INV-00003545,13-02-2025,TLR05K,Telur Ayam (Setengah Kg),4,16500,66000
INV-00003545,13-02-2025,KSKK3P,Kaos Kaki (3 Pasang),1,25000,25000
INV-00003545,13-02-2025,KBLCHG,Kabel Data Fast Charge,6,59000,354000
INV-00003545,13-02-2025,GRMDAP,Garam Dapur (3 Pack),7,10500,73500
INV-00003545,13-02-2025,SMBAT3,Sabun Mandi Batang (Isi 3),1,11000,11000
INV-00003546,13-02-2025,MIEIN5,Mi Instan (Isi 5),5,19000,95000
INV-00003547,13-02-2025,PANTEF,Panci Teflon Kecil,2,81500,163000
INV-00003547,13-02-2025,LED15W,Lampu LED Rumah 15W,5,63000,315000
INV-00003547,13-02-2025,CPL2L,Cairan Pembersih Lantai 2L,5,27500,137500
INV-00003547,13-02-2025,SACTAN,Sabun Cuci Tangan Reffil,1,15000,15000
INV-00003548,13-02-2025,GRMDAP,Garam Dapur (3 Pack),2,10500,21000
INV-00003548,13-02-2025,SACTAN,Sabun Cuci Tangan Reffil,1,15000,15000
INV-00003548,13-02-2025,SMBAT3,Sabun Mandi Batang (Isi 3),1,11000,11000
INV-00003548,13-02-2025,GULP2K,Gula Pasir 2kg,2,44500,89000
INV-00003548,13-02-2025,TISWJH,Tisu Wajah Pack Ganda,3,32500,97500
INV-00003548,13-02-2025,KSKK3P,Kaos Kaki (3 Pasang),2,25000,50000
INV-00003548,13-02-2025,SLCOKA,Selai Coklat Kacang,2,58500,117000
INV-00003548,13-02-2025,TLR05K,Telur Ayam (Setengah Kg),3,16500,49500
INV-00003548,13-02-2025,PMTPAK,Pemutih Pakaian 1L,2,31000,62000
INV-00003548,13-02-2025,MARGRN,Margarin Serbaguna,5,18000,90000
INV-00003549,13-02-2025,GRMDAP,Garam Dapur (3 Pack),5,10500,52500
INV-00003549,13-02-2025,PSUDAP,Pisau Dapur Stainless,2,55000,110000
INV-00003549,13-02-2025,SACTAN,Sabun Cuci Tangan Reffil,1,15000,15000
INV-00003549,13-02-2025,AMGALN,Air Mineral Galon,1,15500,15500
INV-00003550,13-02-2025,KSKK3P,Kaos Kaki (3 Pasang),1,25000,25000
INV-00003550,13-02-2025,SMBAT3,Sabun Mandi Batang (Isi 3),2,11000,22000
INV-00003550,13-02-2025,HNDKMD,Handuk Mandi Sedang,1,42000,42000
INV-00003550,13-02-2025,GRMDAP,Garam Dapur (3 Pack),7,10500,73500
INV-00003550,13-02-2025,SACTAN,Sabun Cuci Tangan Reffil,2,15000,30000
INV-00003550,13-02-2025,SNKKPT,Snack Keripik Kentang,1,20500,20500
INV-00003550,13-02-2025,SHPSAC,Shampo Sachet,1,17500,17500
INV-00003550,13-02-2025,SCC15L,Sabun Cuci Cair 1.5L,1,35000,35000
INV-00003550,13-02-2025,TLR05K,Telur Ayam (Setengah Kg),3,16500,49500
INV-00003551,13-02-2025,MARGRN,Margarin Serbaguna,6,18000,108000
INV-00003551,13-02-2025,SCC15L,Sabun Cuci Cair 1.5L,3,35000,105000
INV-00003551,13-02-2025,KCPMNB,Kecap Manis Botol Besar,2,31500,63000
INV-00003551,13-02-2025,DTG800,Deterjen Bubuk 800g,1,28500,28500
INV-00003551,13-02-2025,SNKKPT,Snack Keripik Kentang,3,20500,61500
INV-00003551,13-02-2025,PANTEF,Panci Teflon Kecil,1,81500,81500
INV-00003551,13-02-2025,TISWJH,Tisu Wajah Pack Ganda,4,32500,130000
INV-00003551,13-02-2025,KSKK3P,Kaos Kaki (3 Pasang),2,25000,50000
INV-00003551,13-02-2025,KBLCHG,Kabel Data Fast Charge,5,59000,295000
INV-00003551,13-02-2025,SMBAT3,Sabun Mandi Batang (Isi 3),1,11000,11000
INV-00003552,13-02-2025,CPL2L,Cairan Pembersih Lantai 2L,3,27500,82500
INV-00003552,13-02-2025,SPONCP,Spons Cuci Piring,2,26500,53000
INV-00003552,13-02-2025,GRMDAP,Garam Dapur (3 Pack),3,10500,31500
INV-00003552,13-02-2025,KSKK3P,Kaos Kaki (3 Pasang),3,25000,75000
INV-00003553,13-02-2025,KSKK3P,Kaos Kaki (3 Pasang),1,25000,25000
INV-00003553,13-02-2025,MARGRN,Margarin Serbaguna,6,18000,108000
INV-00003553,13-02-2025,SMBAT3,Sabun Mandi Batang (Isi 3),2,11000,22000
INV-00003553,13-02-2025,SNKKPT,Snack Keripik Kentang,1,20500,20500
INV-00003553,13-02-2025,SPONCP,Spons Cuci Piring,1,26500,26500
INV-00003553,13-02-2025,BATAA4,Baterai AA (Isi 4),1,15500,15500
INV-00003554,13-02-2025,SACTAN,Sabun Cuci Tangan Reffil,1,15000,15000
INV-00003554,13-02-2025,GRMDAP,Garam Dapur (3 Pack),7,10500,73500
INV-00003554,13-02-2025,PANTEF,Panci Teflon Kecil,2,81500,163000
INV-00003554,13-02-2025,AMGALN,Air Mineral Galon,2,15500,31000
INV-00003554,13-02-2025,SNKKPT,Snack Keripik Kentang,4,20500,82000
INV-00003554,13-02-2025,MSWRLS,Mouse Wireless,1,75000,75000
INV-00003554,13-02-2025,SCC15L,Sabun Cuci Cair 1.5L,2,35000,70000
INV-00003554,13-02-2025,SHPSAC,Shampo Sachet,1,17500,17500
INV-00003554,13-02-2025,TLR05K,Telur Ayam (Setengah Kg),2,16500,33000
INV-00003555,13-02-2025,MSKMED,Masker Medis (1 Box),1,52500,52500
INV-00003555,13-02-2025,HNDKMD,Handuk Mandi Sedang,1,42000,42000
INV-00003555,13-02-2025,SMBAT3,Sabun Mandi Batang (Isi 3),1,11000,11000
INV-00003555,13-02-2025,GRMDAP,Garam Dapur (3 Pack),2,10500,21000
INV-00003555,13-02-2025,SACTAN,Sabun Cuci Tangan Reffil,1,15000,15000
INV-00003555,13-02-2025,KSKK3P,Kaos Kaki (3 Pasang),3,25000,75000
INV-00003556,13-02-2025,MARGRN,Margarin Serbaguna,1,18000,18000
INV-00003556,13-02-2025,MSKMED,Masker Medis (1 Box),2,52500,105000
INV-00003557,13-02-2025,DISF1L,Cairan Disinfektan 1L,2,60500,121000
INV-00003557,13-02-2025,PSUDAP,Pisau Dapur Stainless,4,55000,220000
INV-00003557,13-02-2025,SPONCP,Spons Cuci Piring,3,26500,79500
INV-00003557,13-02-2025,SNKKPT,Snack Keripik Kentang,4,20500,82000
INV-00003557,13-02-2025,CLglass,Pembersih Kaca Cair,3,27500,82500
INV-00003558,13-02-2025,SNKKPT,Snack Keripik Kentang,4,20500,82000
INV-00003558,13-02-2025,CPL2L,Cairan Pembersih Lantai 2L,5,27500,137500
INV-00003558,13-02-2025,TLR05K,Telur Ayam (Setengah Kg),4,16500,66000
INV-00003558,13-02-2025,BATAA4,Baterai AA (Isi 4),2,15500,31000
INV-00003559,13-02-2025,MSKMED,Masker Medis (1 Box),3,52500,157500
INV-00003559,13-02-2025,SNKKPT,Snack Keripik Kentang,2,20500,41000
INV-00003559,13-02-2025,TISWJH,Tisu Wajah Pack Ganda,1,32500,32500
INV-00003559,13-02-2025,KBLCHG,Kabel Data Fast Charge,1,59000,59000
INV-00003560,13-02-2025,TEKOLT,Teko Listrik,3,89000,267000
INV-00003560,13-02-2025,KOPIAR,Kopi Bubuk Arabika 250g,2,58500,117000
INV-00003560,13-02-2025,MADUHA,Madu Hutan Asli,1,36000,36000
INV-00003560,13-02-2025,LED15W,Lampu LED Rumah 15W,1,63000,63000
INV-00003560,13-02-2025,SPONCP,Spons Cuci Piring,1,26500,26500
INV-00003560,13-02-2025,SACTAN,Sabun Cuci Tangan Reffil,2,15000,30000
INV-00003560,13-02-2025,KSKK3P,Kaos Kaki (3 Pasang),3,25000,75000
INV-00003561,13-02-2025,SMBAT3,Sabun Mandi Batang (Isi 3),2,11000,22000
INV-00003561,13-02-2025,GRMDAP,Garam Dapur (3 Pack),1,10500,10500
INV-00003561,13-02-2025,SNKKPT,Snack Keripik Kentang,1,20500,20500
INV-00003561,13-02-2025,TEKOLT,Teko Listrik,3,89000,267000
INV-00003561,13-02-2025,KSKK3P,Kaos Kaki (3 Pasang),3,25000,75000
INV-00003561,13-02-2025,SACTAN,Sabun Cuci Tangan Reffil,1,15000,15000
INV-00003561,13-02-2025,BATAA4,Baterai AA (Isi 4),1,15500,15500
INV-00003561,13-02-2025,SCC15L,Sabun Cuci Cair 1.5L,4,35000,140000
INV-00003561,13-02-2025,PMTPAK,Pemutih Pakaian 1L,3,31000,93000
INV-00003561,13-02-2025,PHRUMH,Pengharum Ruangan,2,54000,108000
INV-00003562,13-02-2025,PHRUMH,Pengharum Ruangan,1,54000,54000
INV-00003562,13-02-2025,PWBNK5,Powerbank 5000mAh,5,97500,487500
INV-00003562,13-02-2025,SACTAN,Sabun Cuci Tangan Reffil,1,15000,15000
INV-00003562,13-02-2025,HNDKMD,Handuk Mandi Sedang,1,42000,42000
INV-00003562,13-02-2025,TISWJH,Tisu Wajah Pack Ganda,5,32500,162500
INV-00003562,13-02-2025,KSKK3P,Kaos Kaki (3 Pasang),2,25000,50000
INV-00003563,13-02-2025,TISWJH,Tisu Wajah Pack Ganda,1,32500,32500
INV-00003563,13-02-2025,DTG800,Deterjen Bubuk 800g,1,28500,28500
INV-00003563,13-02-2025,MSWRLS,Mouse Wireless,2,75000,150000
INV-00003564,13-02-2025,KSKK3P,Kaos Kaki (3 Pasang),2,25000,50000
INV-00003564,13-02-2025,GRMDAP,Garam Dapur (3 Pack),6,10500,63000
INV-00003564,13-02-2025,SMBAT3,Sabun Mandi Batang (Isi 3),2,11000,22000
INV-00003564,13-02-2025,PYGLPT,Payung Lipat Standar,4,40000,160000
INV-00003564,13-02-2025,TLR05K,Telur Ayam (Setengah Kg),1,16500,16500
INV-00003565,13-02-2025,PHRUMH,Pengharum Ruangan,1,54000,54000
INV-00003565,13-02-2025,GULP2K,Gula Pasir 2kg,1,44500,44500
INV-00003565,13-02-2025,SMBAT3,Sabun Mandi Batang (Isi 3),1,11000,11000
INV-00003565,13-02-2025,SACTAN,Sabun Cuci Tangan Reffil,1,15000,15000
INV-00003565,13-02-2025,AMGALN,Air Mineral Galon,2,15500,31000
INV-00003566,13-02-2025,SNKKPT,Snack Keripik Kentang,4,20500,82000
INV-00003566,13-02-2025,SACTAN,Sabun Cuci Tangan Reffil,1,15000,15000
INV-00003566,13-02-2025,TISWJH,Tisu Wajah Pack Ganda,2,32500,65000
INV-00003566,13-02-2025,GRMDAP,Garam Dapur (3 Pack),7,10500,73500
INV-00003566,13-02-2025,KSKK3P,Kaos Kaki (3 Pasang),1,25000,25000
INV-00003566,13-02-2025,DTG800,Deterjen Bubuk 800g,2,28500,57000
INV-00003566,13-02-2025,PMTPAK,Pemutih Pakaian 1L,3,31000,93000
INV-00003566,13-02-2025,MSKMED,Masker Medis (1 Box),1,52500,52500
INV-00003567,13-02-2025,STRIKA,Setrika Listrik Standar,3,99500,298500
INV-00003567,13-02-2025,RAKP3S,Rak Plastik Susun 3,2,79500,159000
INV-00003567,13-02-2025,PSUDAP,Pisau Dapur Stainless,1,55000,55000
INV-00003568,13-02-2025,BANTAL,Bantal Tidur Silikon,3,66500,199500
INV-00003568,13-02-2025,KSKK3P,Kaos Kaki (3 Pasang),1,25000,25000
INV-00003569,13-02-2025,KBLCHG,Kabel Data Fast Charge,3,59000,177000
INV-00003569,13-02-2025,GRMDAP,Garam Dapur (3 Pack),2,10500,21000
INV-00003569,13-02-2025,AMGALN,Air Mineral Galon,1,15500,15500
INV-00003569,13-02-2025,SMBAT3,Sabun Mandi Batang (Isi 3),1,11000,11000
INV-00003569,13-02-2025,DTG800,Deterjen Bubuk 800g,2,28500,57000
INV-00003569,13-02-2025,KSKK3P,Kaos Kaki (3 Pasang),1,25000,25000
INV-00003569,13-02-2025,TPTRG1,Tepung Terigu 1kg,4,10500,42000
INV-00003570,13-02-2025,TLR05K,Telur Ayam (Setengah Kg),2,16500,33000
INV-00003570,13-02-2025,PHRUMH,Pengharum Ruangan,2,54000,108000
INV-00003570,13-02-2025,KSKK3P,Kaos Kaki (3 Pasang),2,25000,50000
INV-00003570,13-02-2025,ALMAKS,Set Alat Makan Stainless,7,64500,451500
INV-00003570,13-02-2025,AMGALN,Air Mineral Galon,1,15500,15500
INV-00003570,13-02-2025,SNKKPT,Snack Keripik Kentang,1,20500,20500
INV-00003570,13-02-2025,SACTAN,Sabun Cuci Tangan Reffil,1,15000,15000
INV-00003570,13-02-2025,TEKOLT,Teko Listrik,3,89000,267000
INV-00003570,13-02-2025,DTG800,Deterjen Bubuk 800g,2,28500,57000
INV-00003570,13-02-2025,MIEIN5,Mi Instan (Isi 5),1,19000,19000
INV-00003571,13-02-2025,CLglass,Pembersih Kaca Cair,6,27500,165000
INV-00003571,13-02-2025,PANTEF,Panci Teflon Kecil,1,81500,81500
INV-00003571,13-02-2025,HNDKMD,Handuk Mandi Sedang,2,42000,84000
INV-00003571,13-02-2025,AMGALN,Air Mineral Galon,2,15500,31000
INV-00003571,13-02-2025,TISWJH,Tisu Wajah Pack Ganda,2,32500,65000
INV-00003571,13-02-2025,KSKK3P,Kaos Kaki (3 Pasang),2,25000,50000
INV-00003571,13-02-2025,TLR05K,Telur Ayam (Setengah Kg),1,16500,16500
INV-00003572,13-02-2025,PMTPAK,Pemutih Pakaian 1L,3,31000,93000
INV-00003572,13-02-2025,MARGRN,Margarin Serbaguna,3,18000,54000
INV-00003572,13-02-2025,KSKK3P,Kaos Kaki (3 Pasang),1,25000,25000
INV-00003572,13-02-2025,MSWRLS,Mouse Wireless,2,75000,150000
INV-00003572,13-02-2025,SPONCP,Spons Cuci Piring,3,26500,79500
INV-00003572,13-02-2025,AMGALN,Air Mineral Galon,1,15500,15500
INV-00003572,13-02-2025,PANTEF,Panci Teflon Kecil,2,81500,163000
INV-00003572,13-02-2025,KOPIAR,Kopi Bubuk Arabika 250g,1,58500,58500
INV-00003572,13-02-2025,KBLCHG,Kabel Data Fast Charge,5,59000,295000
INV-00003572,13-02-2025,SACTAN,Sabun Cuci Tangan Reffil,2,15000,30000
INV-00003573,13-02-2025,TEKOLT,Teko Listrik,3,89000,267000
INV-00003573,13-02-2025,GULP2K,Gula Pasir 2kg,1,44500,44500
INV-00003573,13-02-2025,SACTAN,Sabun Cuci Tangan Reffil,2,15000,30000
INV-00003573,13-02-2025,SNKKPT,Snack Keripik Kentang,3,20500,61500
INV-00003573,13-02-2025,SUFORA,Susu Formula Anak (Box),1,57000,57000
INV-00003573,13-02-2025,TLR05K,Telur Ayam (Setengah Kg),1,16500,16500
INV-00003573,13-02-2025,PMTPAK,Pemutih Pakaian 1L,1,31000,31000
INV-00003573,13-02-2025,SHPSAC,Shampo Sachet,2,17500,35000
INV-00003573,13-02-2025,SLCOKA,Selai Coklat Kacang,1,58500,58500
INV-00003573,13-02-2025,KSKK3P,Kaos Kaki (3 Pasang),2,25000,50000
INV-00003574,13-02-2025,TISWJH,Tisu Wajah Pack Ganda,2,32500,65000
INV-00003574,13-02-2025,DTG800,Deterjen Bubuk 800g,2,28500,57000
INV-00003574,13-02-2025,TEKOLT,Teko Listrik,2,89000,178000
INV-00003574,13-02-2025,CPL2L,Cairan Pembersih Lantai 2L,2,27500,55000
INV-00003574,13-02-2025,SACTAN,Sabun Cuci Tangan Reffil,2,15000,30000
INV-00003574,13-02-2025,PMTPAK,Pemutih Pakaian 1L,3,31000,93000
INV-00003574,13-02-2025,TPTRG1,Tepung Terigu 1kg,2,10500,21000
INV-00003575,13-02-2025,MSKMED,Masker Medis (1 Box),3,52500,157500
INV-00003575,13-02-2025,JASHJN,Jas Hujan Plastik,4,70500,282000
INV-00003575,13-02-2025,SLCOKA,Selai Coklat Kacang,3,58500,175500
INV-00003575,13-02-2025,SCC15L,Sabun Cuci Cair 1.5L,1,35000,35000
INV-00003575,13-02-2025,MSWRLS,Mouse Wireless,4,75000,300000
INV-00003575,13-02-2025,WDHMA K,Wadah Penyimpanan Makanan,5,78000,390000
INV-00003575,13-02-2025,SACTAN,Sabun Cuci Tangan Reffil,2,15000,30000
INV-00003575,13-02-2025,DTG800,Deterjen Bubuk 800g,2,28500,57000
INV-00003575,13-02-2025,KSKK3P,Kaos Kaki (3 Pasang),2,25000,50000
INV-00003575,13-02-2025,SNKKPT,Snack Keripik Kentang,4,20500,82000
INV-00003576,13-02-2025,SNKKPT,Snack Keripik Kentang,1,20500,20500
INV-00003576,13-02-2025,SACTAN,Sabun Cuci Tangan Reffil,1,15000,15000
INV-00003576,13-02-2025,KBLCHG,Kabel Data Fast Charge,4,59000,236000
INV-00003576,13-02-2025,KSKK3P,Kaos Kaki (3 Pasang),1,25000,25000
INV-00003576,13-02-2025,DTG800,Deterjen Bubuk 800g,2,28500,57000
INV-00003576,13-02-2025,SMBAT3,Sabun Mandi Batang (Isi 3),1,11000,11000
INV-00003576,13-02-2025,MSKMED,Masker Medis (1 Box),2,52500,105000
INV-00003576,13-02-2025,PHRUMH,Pengharum Ruangan,1,54000,54000
INV-00003576,13-02-2025,SHPSAC,Shampo Sachet,1,17500,17500
INV-00003577,13-02-2025,MSKMED,Masker Medis (1 Box),2,52500,105000
INV-00003577,13-02-2025,TPTRG1,Tepung Terigu 1kg,1,10500,10500
INV-00003577,13-02-2025,PSUDAP,Pisau Dapur Stainless,2,55000,110000
INV-00003577,13-02-2025,GRMDAP,Garam Dapur (3 Pack),2,10500,21000
INV-00003577,13-02-2025,SNKKPT,Snack Keripik Kentang,2,20500,41000
INV-00003577,13-02-2025,SACTAN,Sabun Cuci Tangan Reffil,1,15000,15000
INV-00003577,13-02-2025,BTLPLT,Botol Minum Plastik,2,47000,94000
INV-00003578,13-02-2025,SACTAN,Sabun Cuci Tangan Reffil,2,15000,30000
INV-00003578,13-02-2025,KBLCHG,Kabel Data Fast Charge,3,59000,177000
INV-00003578,13-02-2025,ALMAKS,Set Alat Makan Stainless,3,64500,193500
INV-00003578,13-02-2025,WDHMA K,Wadah Penyimpanan Makanan,2,78000,156000
INV-00003578,13-02-2025,KSKK3P,Kaos Kaki (3 Pasang),3,25000,75000
INV-00003579,13-02-2025,GRMDAP,Garam Dapur (3 Pack),5,10500,52500
INV-00003579,13-02-2025,SNKKPT,Snack Keripik Kentang,4,20500,82000
INV-00003580,13-02-2025,PHRUMH,Pengharum Ruangan,2,54000,108000
INV-00003581,13-02-2025,SHPSAC,Shampo Sachet,1,17500,17500
INV-00003581,13-02-2025,SCC15L,Sabun Cuci Cair 1.5L,2,35000,70000
INV-00003581,13-02-2025,STRIKA,Setrika Listrik Standar,2,99500,199000
INV-00003581,13-02-2025,SACTAN,Sabun Cuci Tangan Reffil,2,15000,30000
INV-00003581,13-02-2025,DTG800,Deterjen Bubuk 800g,1,28500,28500
INV-00003581,13-02-2025,KSKK3P,Kaos Kaki (3 Pasang),2,25000,50000
INV-00003581,13-02-2025,TISWJH,Tisu Wajah Pack Ganda,4,32500,130000
INV-00003582,13-02-2025,DISF1L,Cairan Disinfektan 1L,5,60500,302500
INV-00003583,13-02-2025,TLR05K,Telur Ayam (Setengah Kg),2,16500,33000
INV-00003583,13-02-2025,MSKMED,Masker Medis (1 Box),1,52500,52500
INV-00003583,13-02-2025,PHRUMH,Pengharum Ruangan,1,54000,54000
INV-00003583,13-02-2025,GRMDAP,Garam Dapur (3 Pack),3,10500,31500
INV-00003583,13-02-2025,RAKP3S,Rak Plastik Susun 3,3,79500,238500
INV-00003583,13-02-2025,PSGIGI,Pasta Gigi Pack Besar,3,23500,70500
INV-00003583,13-02-2025,KSKK3P,Kaos Kaki (3 Pasang),2,25000,50000
INV-00003583,13-02-2025,SNKKPT,Snack Keripik Kentang,3,20500,61500
INV-00003584,13-02-2025,AMGALN,Air Mineral Galon,1,15500,15500
INV-00003584,13-02-2025,KSKK3P,Kaos Kaki (3 Pasang),2,25000,50000
INV-00003584,13-02-2025,TISWJH,Tisu Wajah Pack Ganda,3,32500,97500
INV-00003584,13-02-2025,HDPCON,Headphone Kabel Standar,4,97500,390000
INV-00003584,13-02-2025,MARGRN,Margarin Serbaguna,6,18000,108000
INV-00003585,13-02-2025,KCPMNB,Kecap Manis Botol Besar,1,31500,31500
INV-00003585,13-02-2025,PHRUMH,Pengharum Ruangan,1,54000,54000
INV-00003585,13-02-2025,KSETAS,Keset Kaki Anti-Slip,1,70000,70000
INV-00003585,13-02-2025,KSKK3P,Kaos Kaki (3 Pasang),2,25000,50000
INV-00003586,13-02-2025,HNDKMD,Handuk Mandi Sedang,2,42000,84000
INV-00003586,13-02-2025,AMGALN,Air Mineral Galon,1,15500,15500
INV-00003586,13-02-2025,SPONCP,Spons Cuci Piring,1,26500,26500
INV-00003586,13-02-2025,SACTAN,Sabun Cuci Tangan Reffil,2,15000,30000
INV-00003586,13-02-2025,MARGRN,Margarin Serbaguna,1,18000,18000
INV-00003586,13-02-2025,TLR05K,Telur Ayam (Setengah Kg),4,16500,66000
INV-00003586,13-02-2025,SHPSAC,Shampo Sachet,1,17500,17500
INV-00003586,13-02-2025,PMTPAK,Pemutih Pakaian 1L,1,31000,31000
INV-00003586,13-02-2025,KSKK3P,Kaos Kaki (3 Pasang),1,25000,25000
INV-00003587,13-02-2025,MSWRLS,Mouse Wireless,3,75000,225000
INV-00003587,13-02-2025,KBLCHG,Kabel Data Fast Charge,4,59000,236000
INV-00003587,13-02-2025,WDHMA K,Wadah Penyimpanan Makanan,2,78000,156000
INV-00003587,13-02-2025,PMTPAK,Pemutih Pakaian 1L,2,31000,62000
INV-00003587,13-02-2025,MARGRN,Margarin Serbaguna,2,18000,36000
INV-00003588,13-02-2025,PMTPAK,Pemutih Pakaian 1L,1,31000,31000
INV-00003588,13-02-2025,DISF1L,Cairan Disinfektan 1L,1,60500,60500
INV-00003588,13-02-2025,TLR05K,Telur Ayam (Setengah Kg),3,16500,49500
INV-00003588,13-02-2025,KSKK3P,Kaos Kaki (3 Pasang),1,25000,25000
INV-00003588,13-02-2025,PANTEF,Panci Teflon Kecil,1,81500,81500
INV-00003588,13-02-2025,TISWJH,Tisu Wajah Pack Ganda,4,32500,130000
INV-00003588,13-02-2025,MADUHA,Madu Hutan Asli,1,36000,36000
INV-00003588,13-02-2025,SMBAT3,Sabun Mandi Batang (Isi 3),1,11000,11000
INV-00003588,13-02-2025,TEKOLT,Teko Listrik,3,89000,267000
INV-00003589,13-02-2025,SACTAN,Sabun Cuci Tangan Reffil,2,15000,30000
INV-00003589,13-02-2025,SMBAT3,Sabun Mandi Batang (Isi 3),2,11000,22000
INV-00003589,13-02-2025,HNDKMD,Handuk Mandi Sedang,1,42000,42000
INV-00003589,13-02-2025,KSKK3P,Kaos Kaki (3 Pasang),2,25000,50000
INV-00003590,13-02-2025,KSKK3P,Kaos Kaki (3 Pasang),2,25000,50000
INV-00003590,13-02-2025,PYGLPT,Payung Lipat Standar,6,40000,240000
INV-00003590,13-02-2025,HNDKMD,Handuk Mandi Sedang,1,42000,42000
INV-00003590,13-02-2025,TLR05K,Telur Ayam (Setengah Kg),2,16500,33000
INV-00003590,13-02-2025,TPTRG1,Tepung Terigu 1kg,6,10500,63000
INV-00003590,13-02-2025,DISF1L,Cairan Disinfektan 1L,2,60500,121000
INV-00003590,13-02-2025,MSWRLS,Mouse Wireless,1,75000,75000
INV-00003591,13-02-2025,SPKBT,Speaker Bluetooth Portabel,2,98500,197000
INV-00003592,13-02-2025,KSKK3P,Kaos Kaki (3 Pasang),3,25000,75000
INV-00003592,13-02-2025,TEKOLT,Teko Listrik,1,89000,89000
INV-00003592,13-02-2025,TPTRG1,Tepung Terigu 1kg,3,10500,31500
INV-00003592,13-02-2025,PMTPAK,Pemutih Pakaian 1L,2,31000,62000
INV-00003592,13-02-2025,STRIKA,Setrika Listrik Standar,1,99500,99500
INV-00003593,13-02-2025,TPTRG1,Tepung Terigu 1kg,1,10500,10500
INV-00003593,13-02-2025,PHRUMH,Pengharum Ruangan,2,54000,108000
INV-00003593,13-02-2025,KSKK3P,Kaos Kaki (3 Pasang),3,25000,75000
INV-00003593,13-02-2025,SACTAN,Sabun Cuci Tangan Reffil,2,15000,30000
INV-00003593,13-02-2025,RAKP3S,Rak Plastik Susun 3,4,79500,318000
INV-00003593,13-02-2025,HDPCON,Headphone Kabel Standar,7,97500,682500
INV-00003593,13-02-2025,KBLCHG,Kabel Data Fast Charge,3,59000,177000
INV-00003593,13-02-2025,PYGLPT,Payung Lipat Standar,6,40000,240000
INV-00003594,13-02-2025,TISWJH,Tisu Wajah Pack Ganda,1,32500,32500
INV-00003594,13-02-2025,WDHMA K,Wadah Penyimpanan Makanan,4,78000,312000
INV-00003594,13-02-2025,TEKOLT,Teko Listrik,2,89000,178000
INV-00003594,13-02-2025,DTG800,Deterjen Bubuk 800g,2,28500,57000
INV-00003594,13-02-2025,SACTAN,Sabun Cuci Tangan Reffil,1,15000,15000
INV-00003594,13-02-2025,SCC15L,Sabun Cuci Cair 1.5L,4,35000,140000
INV-00003594,13-02-2025,SLCOKA,Selai Coklat Kacang,3,58500,175500
INV-00003594,13-02-2025,PMTPAK,Pemutih Pakaian 1L,1,31000,31000
INV-00003595,13-02-2025,BATAA4,Baterai AA (Isi 4),2,15500,31000
INV-00003595,13-02-2025,TEKOLT,Teko Listrik,1,89000,89000
INV-00003595,13-02-2025,CPL2L,Cairan Pembersih Lantai 2L,4,27500,110000
INV-00003595,13-02-2025,SACTAN,Sabun Cuci Tangan Reffil,1,15000,15000
INV-00003595,13-02-2025,DTG800,Deterjen Bubuk 800g,1,28500,28500
INV-00003595,13-02-2025,HNDKMD,Handuk Mandi Sedang,2,42000,84000
INV-00003595,13-02-2025,KSKK3P,Kaos Kaki (3 Pasang),1,25000,25000
INV-00003596,13-02-2025,MSWRLS,Mouse Wireless,1,75000,75000
INV-00003596,13-02-2025,KSKK3P,Kaos Kaki (3 Pasang),3,25000,75000
INV-00003596,13-02-2025,KBLCHG,Kabel Data Fast Charge,6,59000,354000
INV-00003597,13-02-2025,SPONCP,Spons Cuci Piring,1,26500,26500
INV-00003597,13-02-2025,SMBAT3,Sabun Mandi Batang (Isi 3),2,11000,22000
INV-00003597,13-02-2025,KSKK3P,Kaos Kaki (3 Pasang),1,25000,25000
INV-00003597,13-02-2025,KBLCHG,Kabel Data Fast Charge,1,59000,59000
INV-00003597,13-02-2025,SLCOKA,Selai Coklat Kacang,2,58500,117000
INV-00003597,13-02-2025,PHRUMH,Pengharum Ruangan,2,54000,108000
INV-00003598,13-02-2025,SHPSAC,Shampo Sachet,1,17500,17500
